logV,n_rep,gamma,beta_5,beta_10,beta_20,colless,sackin,normalized_sackin,b1_index,b2_index
-1.0,39,-0.8142629517074479,0.9362588301208166,2.0795597474605794,0.9172978439709228,236.0,746,-1.5544186493389056,50.07420634920638,1.7579681387408266
-1.0,40,-1.0527493275397986,1.2420836280592167,1.9386066335154954,1.108495602999127,630.0,1066,3.883255357414252,50.32804458613285,1.3301592979333565
-1.0,41,0.30907399036993827,-0.5710256358359959,0.09736600756716539,-0.3961451710694545,346.0,822,-0.26297107273502957,50.594816294816326,1.5925706765235927
-1.0,42,1.0214444135446377,-1.6150816411728575,-0.8423424973157184,-0.7271662256539851,375.0,857,0.33177452175359645,53.2602924852925,1.5425949936496897
-1.0,43,-0.5872057539280199,0.27311488890328667,0.41286844947540796,1.698907981934682,256.0,770,-1.1465930988324184,55.726984126984156,1.6659540873318168
-1.0,44,0.25672219828598336,-1.3809641392760859,-0.6016752980259679,-0.9961792574578103,304.0,790,-0.8067384734103458,55.43336940836943,1.6777865651887258
-1.0,45,0.9388618885497221,2.6169996842482273,1.6270744777706647,0.8029961874535686,394.0,846,0.14485447777145763,51.8539432789433,1.5963004793263136
-1.0,46,-0.34914322783287743,-1.6898844875420325,0.6716789444249969,-0.3769350363789286,,876,0.6546364159045643,50.059498834498854,1.446295351052871
-1.0,47,0.04340689325940957,0.0752128712642742,-1.3501346855301806,-1.0276046900478475,451.0,921,1.4193093231042289,54.67695915195918,1.3617271178369308
-1.0,48,-1.1552444759899596,2.28885888518073,1.7520981973734926,0.9928797753020273,351.0,837,-0.008080103668477709,52.02106782106785,1.5692364422405571
-1.0,49,-0.6302739810550779,-0.025533146251764244,-0.4585660428946567,-0.17115913430518614,371.0,839,0.02590535887373182,53.71789321789324,1.5535088008655342
-0.5,0,-0.3572501964012094,0.026442818837565475,-0.44750972157030566,-0.6708915329288939,302.0,814,-0.3989129229038586,55.44289321789325,1.5014752957556472
-0.5,1,-1.2738649788121008,0.35141388998781764,-0.3926426970752862,0.6153165679623033,274.0,786,-0.8747093984947604,51.3345598845599,1.6337638680689197
-0.5,2,0.38027066722904435,-1.1764810056861499,0.46809197993573776,0.006980807558281617,342.0,846,0.14485447777145763,50.660725385725414,1.6002875099085336
-0.5,3,-0.37448089623001163,1.3664932109149337,2.459513853760111,0.5942757647912374,,946,1.8441276048818194,53.83053058053061,1.2602508764690725
-0.5,4,1.049243200602527,0.27164688225285105,-0.10847258168336049,-0.8829058057107997,288.0,792,-0.7727530108681393,55.4377344877345,1.6840335255479641
-0.5,5,1.1991066285918577,-0.9125175515065236,-0.7140030916905423,-0.1407885160591657,322.0,816,-0.36492746036165213,55.026226551226586,1.5715147454303966
-0.5,6,-0.09453701708024863,-1.1278123066590011,-0.9503186991325023,-1.2988555417644694,318.0,790,-0.8067384734103458,55.49011544011547,1.6678649222652304
-0.5,7,-2.0344544961879336,-0.9088116587898968,-0.3361534271132803,0.5441801483947727,232.0,750,-1.4864477242544911,53.76031746031748,1.8003004818810737
-0.5,8,0.022808608357458467,1.8505206948370987,1.2927035556427198,1.0315378557865589,316.0,818,-0.3309419978194456,51.974278499278526,1.629133768037956
-0.5,9,-1.355371995605247,-1.0500125576086112,0.5755172959965906,0.2678481597924054,353.0,841,0.05989082141593833,52.214260739260766,1.568905720809774
-0.5,10,0.783881796093321,-1.0800086603270094,-1.6744412635633932,0.9902799791601167,404.0,864,0.45072364065132225,54.70791153291157,1.6611769999982822
-0.5,11,-0.29660631344073446,-0.7528718918825341,0.12357694378402648,-0.6387374343297674,,849,0.1958326715847674,50.374639249639266,1.4499336640563527
-0.5,12,0.5536080857942592,-0.5787301445237831,-0.9460181766011759,0.24888536391021837,306.0,792,-0.7727530108681393,51.28336940836944,1.7336417401654418
-0.5,13,-0.6716067527006274,1.1259427662051458,0.19309404263617605,-0.26187917814053074,,823,-0.2459783414639263,52.59799089799093,1.6704081161760016
-0.5,14,-0.2501468613624252,0.49450010893349533,1.471003194299051,0.42890536710933713,444.0,914,1.3003602042065032,53.014296814296856,1.3988322250295233
-0.5,15,0.9102207292084658,-0.8766488181648817,-0.39055925431671784,-1.49870971776183,,902,1.096447428953258,53.41426073926077,1.5359687950259846
-0.5,16,-0.7686088340600002,1.0760519096371153,0.22919887346168294,1.0707598157665918,340.0,824,-0.22898561019282304,53.10122655122658,1.613626607616789
-0.5,17,0.008129650624745799,1.1878498590332294,1.9220233567196643,0.8965393163320999,276.0,798,-0.6707966232415168,55.7377344877345,1.6020146107137352
-0.5,18,1.4560285502754313,-0.1393229640549217,0.1437653223517038,-0.46664016588933277,285.0,803,-0.5858329668860005,53.81789321789325,1.6499324713516539
-0.5,19,-0.5237361027585531,-0.24976944896148437,-0.1514454999102961,0.7580760824290091,337.0,857,0.33177452175359645,53.90955988455991,1.353900043975062
-0.5,20,-0.04099495366949014,-0.5044586348617393,-0.6156396549674414,-0.462343934011545,308.0,804,-0.5688402356148972,56.24011544011547,1.6918973462354752
-0.5,21,0.9725376616178416,-0.5176866014740634,-1.22122575163307,-0.07002364376818179,399.0,883,0.7735855348022902,54.82546897546899,1.47854527655468
